author_name,rating,review_text,review_date,app_version,platform
Joe Kelly,5,works great and we love this credit union!,2025-03-28T13:02:33-07:00,2025.02.02,android
Kathleen,5,Very user friendly,2025-03-28T10:33:21-07:00,Unknown,android
Ashley Faulkenberry,5,love how smooth this app runs,2025-03-27T20:28:52-07:00,2025.02.02,android
Stephen Jones,5,Very user-friendly.,2025-03-27T00:38:18-07:00,2025.02.02,android
Cindy Keech,5,Always works for me!,2025-03-27T00:17:02-07:00,2025.02.02,android
Zach Boyd,5,Great banking app,2025-03-26T20:28:39-07:00,2025.02.02,android
Scott Loomis,5,"little confusing at first but once you learn where everything is located it's super simple, I love it now.",2025-03-26T08:28:31-07:00,2025.02.02,android
Benjamin Franklin,5,easy to use,2025-03-25T14:15:21-07:00,2025.02.02,android
Veronica Kinyea,5,my was very wonderful,2025-03-24T11:54:30-07:00,2025.02.02,android
Earlene McPherson,5,"This is really a great App. In some ways I like it better than the one on my laptop! Really easy to use. That was then, 2015. Now 2022, new changes not so much. I have to stop and try to remember the actual account numbers to make sure I get the right one and at my age that could become a problem..😂 2025..I think the app is great. The only thing I'd like to have is a way to add a comment...",2025-03-24T11:41:06-07:00,2025.02.02,android
Donna Brownlee,5,Straightforward and easy to use!,2025-03-24T08:29:01-07:00,2025.02.02,android
Kurt Schutte,5,so easy to use!,2025-03-23T21:46:30-07:00,2025.02.02,android
Mike Ebert,5,"This app makes it so easy to check balances, make payments, transfer funds, and deposit checks. I'm in it nearly every day.",2025-03-23T21:45:56-07:00,2025.02.02,android
Debra Sheppard,5,I love that they've added the option to lock your card,2025-03-23T13:37:51-07:00,2025.02.02,android
stacia garcia,5,easy 2 use and very convenient,2025-03-23T11:37:37-07:00,2025.02.02,android
Mark Harris,5,great,2025-03-23T07:05:00-07:00,Unknown,android
Janet Barnes,5,so easy to use. I can pay bills anytime in an instant.,2025-03-22T23:58:36-07:00,2025.02.02,android
marcus edmond,5,Easy to use. I really enjoy the app.,2025-03-22T21:27:21-07:00,2024.10.00,android
Sergio G.G,5,"excellent, easy and super fast",2025-03-22T19:24:18-07:00,2025.02.02,android
Thomas Nelson,5,Always works perfectly! 5*,2025-03-22T17:11:51-07:00,2025.02.02,android
Adam Wilson,5,it works.,2025-03-22T11:09:48-07:00,2025.02.02,android
Devin Heese,5,Thanks for fixing the finger print and password issues. Working great now. Love the app.,2025-03-22T09:20:46-07:00,2025.02.02,android
SW,5,"Love the convenience and the security of this app. It offers me all my banking convenience and security in one place, in a few words, it's the best!",2025-03-22T08:01:16-07:00,2025.02.02,android
Dominick Taylor,5,works well,2025-03-21T19:27:11-07:00,2025.02.02,android
Mike Parsons,5,Makes my banking fast and easy,2025-03-21T19:13:10-07:00,2024.10.00,android
Tony Dixon,5,It's Coo',2025-03-21T18:52:28-07:00,2025.02.02,android
Samuels NKET,5,"Great layout, very simple to use",2025-03-21T18:34:38-07:00,Unknown,android
Steven Munro,5,Solid app. Easy to use.,2025-03-21T02:11:12-07:00,2024.10.00,android
AtKG,4,this app has definitely gotten a lot better over the years. barely any bugs. Yall need a dark mode tho. the app is blinding. I'll change it to 5 stars if add a dark mode (and if everything else is still functioning obviously),2025-03-19T13:18:06-07:00,Unknown,android
James Cottrell,5,"best app, especially the transfer ability",2025-03-15T23:15:51-07:00,2024.10.00,android
zac obrien,5,Love the app. Easy to use..,2025-03-14T11:06:07-07:00,2024.10.00,android
Mary Wiltfong,5,"Great app, easy to use",2025-03-12T07:09:11-07:00,2024.10.00,android
Paul Mayberry,5,Good n sweet,2025-03-11T19:45:12-07:00,2024.10.00,android
